text,label
let's focus on improvement together yrr,non-cyberbullying
online mat aaya kar bkc lol,cyberbullying
tu pura son of a bitch hai samjha kya seriously,cyberbullying
tu pura mc hai samjha kya yrr,cyberbullying
tu life me kuch nahi karega bkl,cyberbullying
koi help chahiye ho to bata dena 🙂,non-cyberbullying
tera dimaag kharab hai kya asshole bro,cyberbullying
tumne jo kaam kiya wo kaafi acha tha yrr,non-cyberbullying
tumne jo kaam kiya wo kaafi acha tha bro,non-cyberbullying
chal nikal yaha se bkl seriously,cyberbullying
chal nikal yaha se mc,cyberbullying
great effort keep learning daily bro,non-cyberbullying
tumhari progress clearly dikh rahi hai,non-cyberbullying
tumne jo kaam kiya wo kaafi acha tha 🙂,non-cyberbullying
tu bas time waste karta hai mkc yrr,cyberbullying
aaj ka din kaafi productive tha 🙂,non-cyberbullying
sab log tujhe son of a bitch bolte hain yrr,cyberbullying
koi help chahiye ho to bata dena,non-cyberbullying
kal milte hain project discuss karne yrr,non-cyberbullying
tumhari progress clearly dikh rahi hai 🙂,non-cyberbullying
practice se sab better ho jata hai yrr,non-cyberbullying
tu bas time waste karta hai randi bro,cyberbullying
kisi ko tu pasand nahi hai bc lol,cyberbullying
practice se sab better ho jata hai bro,non-cyberbullying
chup reh warna dekh lunga asshole fr,cyberbullying
aaj ka din kaafi productive tha yrr,non-cyberbullying
itna bkc kaise ho sakta hai banda yrr,cyberbullying
aaj ka din kaafi productive tha bro,non-cyberbullying
thoda rest le lo sab theek ho jayega,non-cyberbullying
kal milte hain project discuss karne 🙂,non-cyberbullying
kisi ko tu pasand nahi hai bkc fr,cyberbullying
tu pura mc hai samjha kya fr,cyberbullying
tu life me kuch nahi karega bkl yrr,cyberbullying
tu bas time waste karta hai bc yrr,cyberbullying
aaj ka din kaafi productive tha 👍,non-cyberbullying
sab log tujhe bkl bolte hain smh,cyberbullying
kal milte hain project discuss karne,non-cyberbullying
tu life me kuch nahi karega bkl yrr,cyberbullying
tera dimaag kharab hai kya wtf fr,cyberbullying
positive rehna important hota hai 🙂,non-cyberbullying
great effort keep learning daily bro,non-cyberbullying
itna bitch kaise ho sakta hai banda,cyberbullying
tumne jo kaam kiya wo kaafi acha tha 🙂,non-cyberbullying
tu pura chutiya hai samjha kya lol,cyberbullying
thoda rest le lo sab theek ho jayega yrr,non-cyberbullying
tu bas time waste karta hai nigga bro,cyberbullying
itna randi kaise ho sakta hai banda smh,cyberbullying
tera dimaag kharab hai kya bkl yrr,cyberbullying
tera dimaag kharab hai kya mkc yrr,cyberbullying
chal nikal yaha se bitch seriously,cyberbullying
kisi ko tu pasand nahi hai son of a bitch seriously,cyberbullying
great effort keep learning daily 🙂,non-cyberbullying
chup reh warna dekh lunga son of a bitch,cyberbullying
aaj ka din kaafi productive tha,non-cyberbullying
tu bas time waste karta hai randi smh,cyberbullying
tumhari progress clearly dikh rahi hai bro,non-cyberbullying
tu life me kuch nahi karega mkc fr,cyberbullying
koi help chahiye ho to bata dena,non-cyberbullying
tu life me kuch nahi karega bkc smh,cyberbullying
chup reh warna dekh lunga randi,cyberbullying
tera dimaag kharab hai kya mkb lol,cyberbullying
practice se sab better ho jata hai,non-cyberbullying
